City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ceres,US,2021-11-29 23:39:37,37.5949,-120.9577,72.55,58,1,5.75
1,Nikolskoye,RU,2021-11-29 23:39:37,59.7035,30.7861,25.39,95,100,10.27
2,Djambala,CG,2021-11-29 23:39:37,-2.5447,14.7533,67.44,91,98,0.58
3,Mataura,NZ,2021-11-29 23:39:38,-46.1927,168.8643,59.49,48,98,5.35
4,Arman,RU,2021-11-29 23:39:38,59.7,150.1667,0.01,89,100,9.15
5,Praia,CV,2021-11-29 23:39:38,14.9215,-23.5087,73.94,68,40,20.71
6,Moron,AR,2021-11-29 23:39:39,-34.6534,-58.6198,73.98,57,9,1.01
7,Hirara,JP,2021-11-29 23:39:39,24.8,125.2833,73.67,88,75,5.75
8,Basco,PH,2021-11-29 23:39:39,20.4487,121.9702,76.21,84,100,24.38
9,Prado,BR,2021-11-29 23:39:40,-17.3411,-39.2208,77.56,88,22,14.07
10,Codrington,AU,2021-11-29 23:39:40,-38.2667,141.9667,80.06,29,0,7.27
11,Albany,US,2021-11-29 23:39:40,42.6001,-73.9662,31.08,67,50,1.99
12,Puerto Ayora,EC,2021-11-29 23:39:41,-0.7393,-90.3518,70.56,91,70,5.99
13,Ilulissat,GL,2021-11-29 23:39:41,69.2167,-51.1,30.22,93,75,4.61
14,Ushuaia,AR,2021-11-29 23:38:07,-54.8,-68.3,46.06,42,40,17.27
15,Tomatlan,MX,2021-11-29 23:39:42,19.9333,-105.25,79.39,65,4,3.29
16,Lompoc,US,2021-11-29 23:36:50,34.6391,-120.4579,85.08,55,1,13.8
17,Ninotsminda,GE,2021-11-29 23:39:42,41.2646,43.5916,27.05,83,35,8.16
18,Tezu,IN,2021-11-29 23:39:42,27.9167,96.1667,60.71,48,82,4.18
19,Rikitea,PF,2021-11-29 23:39:43,-23.1203,-134.9692,76.55,77,2,21.03
20,Busselton,AU,2021-11-29 23:39:43,-33.65,115.3333,60.04,55,52,9.93
21,Punta Arenas,CL,2021-11-29 23:36:49,-53.15,-70.9167,50.11,50,40,31.07
22,Buraydah,SA,2021-11-29 23:37:29,26.326,43.975,54.05,26,2,3.85
23,Hermanus,ZA,2021-11-29 23:39:44,-34.4187,19.2345,62.91,76,32,7.78
24,Yuzhno-Kurilsk,RU,2021-11-29 23:39:44,44.0306,145.8556,43.68,82,99,3.36
